SPIAresult.Cell_1	SPIAresult.Cell_2	SPIAresult.Distance	SPIAresult.SPIA_Score	SPIAresult.SNP_available	SPIAresult.Total_SNP	SPIAresult.One_SNP_NA	SPIAresult.Bot_SNP_NA	SPIAresult.Diff_AvsB_or_BvsA	SPIAresult.Diff_AorBvsAB_or_vic	SPIAresult.DiffABvsAorB	SPIAresult.counterBothHomoz	SPIAresult.counterBothHeter
NA06984	NA06985	0.62963	Different	135	143	8	0	12	73	25	15	35
NA06984	NA06986	0.53676	Different	136	143	7	0	9	64	26	16	47
NA06984	NA06989	0.46512	Uncertain	129	143	13	1	7	53	25	18	51
NA06984	NA06994	0.51938	Different	129	143	14	0	9	58	17	23	39
NA06984	NA07037	0.5597	Different	134	143	9	0	12	63	23	15	44
NA06984	NA07048	0.53543	Different	127	143	15	1	9	59	37	3	56
NA06984	NA07346	0.58088	Different	136	143	6	1	13	66	22	16	41
NA06984	NA10847	0.55147	Different	136	143	7	0	12	63	26	14	47
NA06984	NA10851	0.56391	Different	133	143	10	0	16	59	22	11	47
NA06984	NA11840	0.61481	Different	135	143	8	0	5	78	27	18	34
NA06984	NA11843	0.625	Different	136	143	7	0	11	74	22	19	32
NA06984	NA11919	0.64615	Different	130	143	13	0	8	76	23	15	31
NA06984	NA11992	0.64234	Different	137	143	5	1	8	80	30	14	35
NA06984	NA11995	0.6	Different	135	143	8	0	12	69	21	18	36
NA06984	NA12004	0.62903	Different	124	143	17	2	11	67	23	15	31
NA06984	NA12006	0.54198	Different	131	143	11	1	13	58	21	17	43
NA06984	NA12044	0.54412	Different	136	143	7	0	17	57	19	16	46
NA06984	NA12155	0.55882	Different	136	143	7	0	8	68	23	20	40
NA06984	NA12156	0.5678	Different	118	143	24	1	9	58	23	12	39
NA06984	NA12249	0.62879	Different	132	143	11	0	15	68	30	6	43
NA06984	NA12272	0.55556	Different	135	143	7	1	16	59	24	12	48
NA06984	NA12273	0.69173	Different	133	143	10	0	13	79	25	13	28
NA06984	NA12282	0.56923	Different	130	143	12	1	11	63	22	18	38
NA06984	NA12341	0.616	Different	125	143	18	0	9	68	31	9	39
NA06984	NA12342	0.63704	Different	135	143	8	0	10	76	24	17	32
NA06984	NA12348	0.56618	Different	136	143	6	1	12	65	27	13	46
NA06984	NA12400	0.57353	Different	136	143	7	0	14	64	19	18	40
NA06984	NA12414	0.58647	Different	133	143	10	0	15	63	21	16	39
NA06984	NA12489	0.47899	Different	119	143	24	0	4	53	34	9	53
NA06984	NA12748	0.58647	Different	133	143	10	0	10	68	32	10	45
NA06984	NA12750	0.66912	Different	136	143	7	0	18	73	18	16	29
NA06984	NA12760	0.60741	Different	135	143	8	0	7	75	26	18	35
NA06984	NA12761	0.53383	Different	133	143	10	0	9	62	24	17	45
NA06984	NA12762	0.5	Different	136	143	7	0	13	55	23	15	53
NA06984	NA12763	0.57031	Different	128	143	15	0	7	66	26	13	42
NA06984	NA12775	0.65441	Different	136	143	7	0	14	75	26	12	35
NA06984	NA12812	0.5597	Different	134	143	9	0	12	63	28	11	48
NA06984	NA12815	0.66923	Different	130	143	12	1	16	71	22	11	32
NA06984	NA12829	0.672	Different	125	143	18	0	12	72	25	8	33
NA06984	NA12830	0.63359	Different	131	143	12	0	15	68	27	9	39
NA06984	NA12842	0.55357	Different	112	143	30	1	9	53	19	11	39
NA06984	NA12843	0.58088	Different	136	143	7	0	14	65	20	18	39
NA06984	NA12872	0.60305	Different	131	143	12	0	7	72	28	12	40
NA06984	NA12873	0.61719	Different	128	143	15	0	6	73	33	9	40
NA06984	NA12874	0.64844	Different	128	143	14	1	13	70	22	13	32
NA06984	NA12889	0.48	Not Valid	75	143	66	2	3	33	20	3	36
NA06984	NA12890	0.45865	Uncertain	133	143	10	0	7	54	26	19	53
NA06985	NA06986	0.67143	Different	140	143	3	0	28	66	40	10	36
NA06985	NA06989	0.63636	Different	132	143	11	0	10	74	47	15	33
NA06985	NA06994	0.66917	Different	133	143	10	0	17	72	35	22	22
NA06985	NA07037	0.68841	Different	138	143	5	0	16	79	43	18	25
NA06985	NA07048	0.65385	Different	130	143	13	0	11	74	55	5	40
NA06985	NA07346	0.66187	Different	139	143	4	0	19	73	38	21	26
NA06985	NA10847	0.75	Different	140	143	3	0	22	83	47	9	26
NA06985	NA10851	0.61314	Different	137	143	6	0	20	64	38	20	33
NA06985	NA11840	0.64029	Different	139	143	4	0	20	69	36	21	29
NA06985	NA11843	0.60714	Different	140	143	3	0	17	68	31	30	25
NA06985	NA11919	0.64925	Different	134	143	9	0	20	67	31	24	23
NA06985	NA11992	0.63571	Different	140	143	3	0	28	61	33	17	34
NA06985	NA11995	0.64748	Different	139	143	4	0	12	78	38	28	21
