SPIAresult.Cell_1	SPIAresult.Cell_2	SPIAresult.Distance	SPIAresult.SPIA_Score	SPIAresult.SNP_available	SPIAresult.Total_SNP	SPIAresult.One_SNP_NA	SPIAresult.Bot_SNP_NA	SPIAresult.Diff_AvsB_or_BvsA	SPIAresult.Diff_AorBvsAB_or_vic	SPIAresult.DiffABvsAorB	SPIAresult.counterBothHomoz	SPIAresult.counterBothHeter
Sample_1_1	Sample_1_2	0.29352	Uncertain	293	334	18	23	13	73	14	171	36
Sample_1_1	Sample_2_1	0.61333	Different	300	334	17	17	64	120	60	77	39
Sample_1_1	Sample_2_2	0.64026	Different	303	334	6	25	60	134	68	76	33
Sample_1_1	Sample_2_3	0.6633	Different	297	334	14	23	91	106	29	78	22
Sample_1_1	Sample_2_4	0.66216	Different	296	334	19	19	87	109	26	85	15
Sample_1_1	Sample_2_5	0.66553	Different	293	334	17	24	92	103	23	81	17
Sample_1_2	Sample_2_1	0.62838	Different	296	334	23	15	75	111	78	91	19
Sample_1_2	Sample_2_2	0.65101	Different	298	334	14	22	71	123	85	90	14
Sample_1_2	Sample_2_3	0.62373	Different	295	334	16	23	108	76	38	98	13
Sample_1_2	Sample_2_4	0.61824	Different	296	334	17	21	107	76	33	104	9
Sample_1_2	Sample_2_5	0.62759	Different	290	334	21	23	110	72	31	99	9
Sample_2_1	Sample_2_2	0.19079	Uncertain	304	334	15	15	0	58	30	174	72
Sample_2_1	Sample_2_3	0.31457	Uncertain	302	334	15	17	15	80	15	171	36
Sample_2_1	Sample_2_4	0.32566	Uncertain	304	334	14	16	16	83	12	174	31
Sample_2_1	Sample_2_5	0.31987	Uncertain	297	334	20	17	12	83	12	174	28
Sample_2_2	Sample_2_3	0.29801	Uncertain	302	334	10	22	15	75	13	173	39
Sample_2_2	Sample_2_4	0.32226	Uncertain	301	334	15	18	16	81	11	173	31
Sample_2_2	Sample_2_5	0.30976	Uncertain	297	334	15	22	16	76	8	172	33
Sample_2_3	Sample_2_4	0.083333	Similar	300	334	13	21	0	25	7	240	35
Sample_2_3	Sample_2_5	0.12838	Similar	296	334	13	25	0	38	14	232	26
Sample_2_4	Sample_2_5	0.14815	Uncertain	297	334	14	23	1	43	22	234	19
